Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,054,381",-,-,"$822,054,381",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,F9: The Fast Saga,"$552,746,955","$151,908,955",27.5%,"$400,838,000",72.5%
4,Godzilla vs. Kong,"$459,463,133","$100,563,133",21.9%,"$358,900,000",78.1%
5,A Quiet Place Part II,"$281,027,870","$152,727,870",54.3%,"$128,300,000",45.7%
6,Cruella,"$218,769,517","$82,669,517",37.8%,"$136,100,000",62.2%
7,Black Widow,"$214,489,671","$113,789,671",53.1%,"$100,700,000",46.9%
8,The Conjuring: The Devil Made Me Do It,"$184,314,540","$64,314,540",34.9%,"$120,000,000",65.1%
9,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
10,A Writer's Odyssey,"$149,751,241","$133,527",<0.1%,"$149,617,714",99.9%
11,Peter Rabbit 2: The Runaway,"$140,562,319","$38,862,319",27.6%,"$101,700,000",72.4%
12,Sister,"$128,292,175",-,-,"$128,292,175",100%
13,Tom and Jerry,"$125,241,123","$46,041,123",36.8%,"$79,200,000",63.2%
14,Raya and the Last Dragon,"$121,575,873","$54,611,580",44.9%,"$66,964,293",55.1%
15,My Love,"$113,717,293","$86,252",<0.1%,"$113,631,041",99.9%
16,Wrath of Man,"$100,046,121","$27,446,121",27.4%,"$72,600,000",72.6%
17,Detective Conan: The Scarlet Bullet,"$95,659,296",-,-,"$95,659,296",100%
18,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
19,Evangelion: 3.0+1.01 Thrice Upon a Time,"$90,768,328",-,-,"$90,768,328",100%
20,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
21,Boonie Bears: The Wild Life,"$77,754,951",-,-,"$77,754,951",100%
22,1921,"$64,315,590",-,-,"$64,315,590",100%
23,The Hitman's Wife's Bodyguard,"$62,591,793","$35,898,131",57.4%,"$26,693,662",42.6%
24,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
25,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
26,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
27,Chinese Doctors,"$53,500,000",-,-,"$53,500,000",100%
28,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
29,Man in Love,"$52,300,000",-,-,"$52,300,000",100%
30,The Boss Baby: Family Business,"$46,022,675","$43,051,675",93.5%,"$2,971,000",6.5%
31,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
32,The Forever Purge,"$41,947,710","$34,400,710",82%,"$7,547,000",18%
33,In the Heights,"$39,528,518","$28,828,518",72.9%,"$10,700,000",27.1%
34,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
35,Spiral,"$37,454,782","$23,216,862",62%,"$14,237,920",38%
36,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
37,I Fell in Love Like A Flower Bouquet,"$34,688,903",-,-,"$34,688,903",100%
38,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
39,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
40,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
41,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
42,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
43,Master,"$28,692,230",-,-,"$28,692,230",100%
44,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
45,Spirit Untamed,"$27,720,979","$17,458,280",63%,"$10,262,699",37%
46,Nomadland,"$25,803,348","$2,143,000",8.3%,"$23,660,348",91.7%
47,Chaos Walking,"$24,942,613","$13,287,908",53.3%,"$11,654,705",46.7%
48,Those Who Wish Me Dead,"$23,449,024","$7,347,103",31.3%,"$16,101,921",68.7%
49,The Marksman,"$22,686,080","$15,566,093",68.6%,"$7,119,987",31.4%
50,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
51,Luca,"$21,000,000",-,-,"$21,000,000",100%
52,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$19,581,011",-,-,"$19,581,011",100%
53,The Courier,"$18,537,737","$6,613,432",35.7%,"$11,924,305",64.3%
54,Black Widow Streaming - Premium Access,"$18,338,759",-,-,"$18,338,759",100%
55,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
56,The Dry,"$17,025,154","$358,327",2.1%,"$16,666,827",97.9%
57,The Pioneer,"$17,000,000",-,-,"$17,000,000",100%
58,Gintama: The Final,"$16,978,486",-,-,"$16,978,486",100%
59,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
60,Mobile Suit Gundam: Hathaway,"$15,846,280",-,-,"$15,846,280",100%
61,Minari,"$14,878,127","$3,110,580",20.9%,"$11,767,547",79.1%
62,Space Jam: A New Legacy,"$13,294,073","$13,100,000",98.5%,"$194,073",1.5%
63,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
64,Extinct,"$13,029,566",-,-,"$13,029,566",100%
65,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
66,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
67,Character,"$11,641,627",-,-,"$11,641,627",100%
68,Krack,"$10,442,916",-,-,"$10,442,916",100%
69,The Fable: The Killer Who Doesn't Kill,"$10,418,170",-,-,"$10,418,170",100%
70,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
71,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
72,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
73,The Soul,"$9,600,000",-,-,"$9,600,000",100%
74,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
75,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
76,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
77,Hard Hit,"$7,477,352",-,-,"$7,477,352",100%
78,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
79,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
80,Dad,"$7,189,680",-,-,"$7,189,680",100%
81,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
82,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
83,Judas and the Black Messiah,"$6,800,767","$5,446,607",80.1%,"$1,354,160",19.9%
84,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
85,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
86,Tokyo Revengers,"$6,323,175",-,-,"$6,323,175",100%
87,Dream Horse,"$6,279,313","$2,844,016",45.3%,"$3,435,297",54.7%
88,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
89,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
90,Penguin Bloom,"$6,107,091",-,-,"$6,107,091",100%
91,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
92,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
93,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
94,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
95,New Happy Dad and Son 4,"$5,530,000",-,-,"$5,530,000",100%
96,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
97,Jigoku-no-hanazono ~Office Royale~,"$5,450,978",-,-,"$5,450,978",100%
98,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
99,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
100,Poly,"$5,236,154",-,-,"$5,236,154",100%
101,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
102,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
103,Red,"$4,920,261",-,-,"$4,920,261",100%
104,Escape Room: Tournament of Champions,"$4,806,656","$3,815,000",79.4%,"$991,656",20.6%
105,Palma,"$4,756,981",-,-,"$4,756,981",100%
106,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
107,Separation,"$4,509,143","$4,509,143",100%,-,-
108,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
109,The Mauritanian,"$4,476,125","$836,536",18.7%,"$3,639,589",81.3%
110,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
111,Prababushka lyogkogo povedeniya,"$4,360,396",-,-,"$4,360,396",100%
112,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
113,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
114,Voyagers,"$4,284,903","$3,149,935",73.5%,"$1,134,968",26.5%
115,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
116,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
117,Seobok,"$4,119,613",-,-,"$4,119,613",100%
118,Wrong Turn,"$4,118,642","$1,251,184",30.4%,"$2,867,458",69.6%
119,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
120,Karnan,"$3,817,585",-,-,"$3,817,585",100%
121,The Forgotten Battle,"$3,804,834",-,-,"$3,804,834",100%
122,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
123,Zola,"$3,531,563","$3,531,563",100%,-,-
124,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
125,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
126,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
127,Finding You,"$3,329,866","$2,753,985",82.7%,"$575,881",17.3%
128,Operation Portugal,"$3,321,110","$1,096",<0.1%,"$3,320,014",100%
129,12 Mighty Orphans,"$3,238,169","$3,238,169",100%,-,-
130,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
131,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
132,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
133,Land,"$3,159,730","$2,577,830",81.6%,"$581,900",18.4%
134,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
135,Family Swap,"$3,047,798",-,-,"$3,047,798",100%
136,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
137,French Tech,"$2,863,443",-,-,"$2,863,443",100%
138,Here Today,"$2,807,494","$2,807,494",100%,-,-
139,The Speech,"$2,774,120",-,-,"$2,774,120",100%
140,Recalled,"$2,696,945",-,-,"$2,696,945",100%
141,The Book of Fish,"$2,682,886",-,-,"$2,682,886",100%
142,Presidents,"$2,680,753",-,-,"$2,680,753",100%
143,High Ground,"$2,347,981",-,-,"$2,347,981",100%
144,Roohi,"$2,306,525",-,-,"$2,306,525",100%
145,Operación Camarón,"$2,248,482",-,-,"$2,248,482",100%
146,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
147,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
148,Calamity Jane,"$2,237,596",-,-,"$2,237,596",100%
149,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
150,Honey Lemon Soda,"$2,144,883",-,-,"$2,144,883",100%
151,Catweazle,"$2,127,930",-,-,"$2,127,930",100%
152,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
153,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
154,Sankaku Mado no Sotogawa wa Yoru,"$2,081,564",-,-,"$2,081,564",100%
155,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
156,Supernova,"$2,070,382","$234,220",11.3%,"$1,836,162",88.7%
157,The Ice Road,"$2,041,034",-,-,"$2,041,034",100%
158,Long Story Short,"$2,037,689",-,-,"$2,037,689",100%
159,Mandibles,"$2,018,579",-,-,"$2,018,579",100%
160,June Again,"$1,985,934",-,-,"$1,985,934",100%
161,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
162,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
163,Radhe,"$1,900,312",-,-,"$1,900,312",100%
164,Profile,"$1,763,278","$1,744,740",98.9%,"$18,538",1.1%
165,Boss Level,"$1,747,162",-,-,"$1,747,162",100%
166,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$1,742,715","$1,741,366",99.9%,"$1,349",<0.1%
167,Juega Conmigo,"$1,742,465",-,-,"$1,742,465",100%
168,Queen Bees,"$1,726,853","$1,726,853",100%,-,-
169,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
170,Minamata,"$1,625,709",-,-,"$1,625,709",100%
171,Josep,"$1,592,590",-,-,"$1,592,590",100%
172,French Exit,"$1,573,585","$741,895",47.1%,"$831,690",52.9%
173,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
174,¡A todo tren! Destino Asturias,"$1,518,679",-,-,"$1,518,679",100%
175,Mesh Ana,"$1,514,286",-,-,"$1,514,286",100%
176,The Deep House,"$1,513,425",-,-,"$1,513,425",100%
177,La La Land 2020 Re-release,"$1,499,170",-,-,"$1,499,170",100%
178,El Exorcismo de Carmen Farías,"$1,474,579",-,-,"$1,474,579",100%
179,Together Together,"$1,436,336","$1,436,336",100%,-,-
180,Gyokou no Nikuko-chan,"$1,428,439",-,-,"$1,428,439",100%
181,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
182,Ainbo,"$1,397,880",-,-,"$1,397,880",100%
183,Matky,"$1,351,065",-,-,"$1,351,065",100%
184,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
185,In the Earth,"$1,324,150","$1,113,723",84.1%,"$210,427",15.9%
186,Chacun chez soi,"$1,312,404",-,-,"$1,312,404",100%
187,Home Front,"$1,310,180",-,-,"$1,310,180",100%
188,Cousins,"$1,310,089",-,-,"$1,310,089",100%
189,Roadrunner: A Film About Anthony Bourdain,"$1,290,000","$1,290,000",100%,-,-
190,I Care a Lot,"$1,288,436",-,-,"$1,288,436",100%
191,The Rose Maker,"$1,261,969",-,-,"$1,261,969",100%
192,Abominable 2021 Re-release,"$1,260,243","$110,000",8.7%,"$1,150,243",91.3%
193,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
194,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
195,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
196,Heavily in Love 2,"$1,188,562",-,-,"$1,188,562",100%
197,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
198,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
199,Gekijouban Bang Dream! Episode of Roselia: Promise,"$1,128,578",-,-,"$1,128,578",100%
200,Crisis,"$1,122,326","$404,738",36.1%,"$717,588",63.9%
